"Country","Year","FoodCode","FoodName","AgeClass","SourceAgeClass","Gender","Number_of_consumers","Consumers_Mean","Consumers_Median","Consumers_P05__g_day_","Consumers_P90__g_day_","Consumers_P95__g_day_","Consumers_P975__g_day_","Consumers_Standard_deviation__g_day_","Number_of_subjects","Total_Mean","Total_Median","Total_P05__g_day_","Total_P90__g_day_","Total_P95__g_day_","Total_P975__g_day_","Total_Standard_deviation__g_day_","Intake_Unit"
"France","2007","A03VY","Meat stew","Children and Adolescents","Other children","Male","33","0.39","0.34","0.06","-1","0.88","0.92","0.29","239","0.05","0","0","-1","0.44","0.68","0.17","g/kg.bw/day"
"France","2007","A03XA","Meat loaf","Children and Adolescents","Other children","Female","18","0.45","0.42","0.16","-1","0.81","0.85","0.23","243","0.03","0","0","-1","0.37","0.47","0.13","g/kg.bw/day"
"France","2007","A03XA","Meat loaf","Children and Adolescents","Other children","Male","20","0.63","0.5","0.23","-1","1.6","1.67","0.42","239","0.05","0","0","-1","0.46","0.65","0.21","g/kg.bw/day"
"France","2007","A03XF","Meat burger (no sandwich)","Children and Adolescents","Other children","Female","180","0.93","0.73","0.22","-1","2.27","2.87","0.66","243","0.69","0.59","0","-1","1.97","2.66","0.7","g/kg.bw/day"
"France","2007","A03XF","Meat burger (no sandwich)","Children and Adolescents","Other children","Male","175","1.09","0.83","0.25","-1","2.56","2.75","0.78","239","0.8","0.61","0","-1","2.42","2.68","0.82","g/kg.bw/day"
"France","2007","A03XH","Meat terrine","Children and Adolescents","Other children","Female","19","0.24","0.2","0.06","-1","0.55","0.7","0.2","243","0.02","0","0","-1","0.15","0.29","0.08","g/kg.bw/day"
"France","2007","A03XH","Meat terrine","Children and Adolescents","Other children","Male","20","0.26","0.24","0.14","-1","0.5","0.53","0.12","239","0.02","0","0","-1","0.22","0.29","0.08","g/kg.bw/day"
"France","2007","A03YS","Mushroom based dishes","Children and Adolescents","Other children","Female","1","0.5","0.5","0.5","-1","0.5","0.5","0","243","0","0","0","-1","0","0","0.03","g/kg.bw/day"
"France","2007","A03YS","Mushroom based dishes","Children and Adolescents","Other children","Male","5","0.44","0.36","0.18","-1","0.71","0.71","0.25","239","0.01","0","0","-1","0","0","0.07","g/kg.bw/day"
"France","2007","A011N","Fries (finger chips)","Children and Adolescents","Other children","Female","193","0.81","0.65","0.15","-1","2.13","2.68","0.64","243","0.64","0.45","0","-1","1.95","2.52","0.66","g/kg.bw/day"
"France","2007","A011N","Fries (finger chips)","Children and Adolescents","Other children","Male","187","0.85","0.76","0.23","-1","2.02","2.44","0.58","239","0.67","0.54","0","-1","1.85","2.38","0.62","g/kg.bw/day"
"France","2007","A0BYX","French fries from dough","Children and Adolescents","Other children","Female","30","0.49","0.43","0.18","-1","1.19","1.19","0.3","243","0.06","0","0","-1","0.48","0.72","0.19","g/kg.bw/day"
"France","2007","A0BYX","French fries from dough","Children and Adolescents","Other children","Male","26","0.54","0.47","0.21","-1","1.02","1.1","0.26","239","0.06","0","0","-1","0.49","0.68","0.19","g/kg.bw/day"
"France","2007","A03VD","Potato based dishes","Children and Adolescents","Other children","Female","22","0.49","0.43","0.24","-1","0.88","1.22","0.29","243","0.04","0","0","-1","0.42","0.52","0.17","g/kg.bw/day"
"France","2007","A03VD","Potato based dishes","Children and Adolescents","Other children","Male","13","0.6","0.55","0.17","-1","1.15","1.18","0.34","239","0.03","0","0","-1","0.17","0.63","0.16","g/kg.bw/day"
"France","2007","A0C6J","Potato puree from flakes or powder","Children and Adolescents","Other children","Female","123","1.11","1.02","0.36","-1","2.28","2.59","0.65","243","0.56","0.21","0","-1","1.9","2.29","0.72","g/kg.bw/day"
"France","2007","A0C6J","Potato puree from flakes or powder","Children and Adolescents","Other children","Male","114","1.2","1.02","0.38","-1","2.69","3.08","0.72","239","0.57","0","0","-1","2.26","2.68","0.78","g/kg.bw/day"
"France","2007","A03XX","Vegetable based dishes","Children and Adolescents","Other children","Female","6","0.74","0.64","0.29","-1","1.36","1.42","0.44","243","0.02","0","0","-1","0","0","0.13","g/kg.bw/day"
"France","2007","A03XX","Vegetable based dishes","Children and Adolescents","Other children","Male","1","0.58","0.58","0.58","-1","0.58","0.58","0","239","0","0","0","-1","0","0","0.04","g/kg.bw/day"
"France","2007","A03YE","Mixed vegetables, boiled","Children and Adolescents","Other children","Female","79","0.36","0.24","0.06","-1","0.96","1.62","0.47","243","0.12","0","0","-1","0.55","0.79","0.32","g/kg.bw/day"
"France","2007","A03YE","Mixed vegetables, boiled","Children and Adolescents","Other children","Male","91","0.4","0.25","0.04","-1","1.11","1.6","0.44","239","0.15","0","0","-1","0.74","0.98","0.33","g/kg.bw/day"
"France","2007","A03MQ","Shandy","Children and Adolescents","Other children","Male","1","0.61","0.61","0.61","-1","0.61","0.61","0","239","0","0","0","-1","0","0","0.04","g/kg.bw/day"
"France","2007","A03MX","Wine, red","Children and Adolescents","Other children","Female","17","0.06","0.06","0.02","-1","0.12","0.13","0.04","243","0","0","0","-1","0.03","0.07","0.02","g/kg.bw/day"
"France","2007","A03MX","Wine, red","Children and Adolescents","Other children","Male","14","0.06","0.03","0.02","-1","0.14","0.17","0.05","239","0","0","0","-1","0.03","0.04","0.02","g/kg.bw/day"
"France","2007","A03MV","Wine, white","Children and Adolescents","Other children","Female","19","0.08","0.03","0.01","-1","0.24","0.25","0.09","243","0.01","0","0","-1","0.02","0.11","0.03","g/kg.bw/day"
"France","2007","A03MV","Wine, white","Children and Adolescents","Other children","Male","13","0.11","0.04","0.01","-1","0.39","0.5","0.17","239","0.01","0","0","-1","0.01","0.05","0.05","g/kg.bw/day"
"France","2007","A03ND","Cider","Children and Adolescents","Other children","Female","3","0.91","0.69","0.55","-1","1.42","1.46","0.52","243","0.01","0","0","-1","0","0","0.11","g/kg.bw/day"
"France","2007","A037V","Pork lard","Children and Adolescents","Other children","Female","14","0.04","0.04","0","-1","0.1","0.12","0.04","243","0","0","0","-1","0.01","0.05","0.01","g/kg.bw/day"
"France","2007","A037V","Pork lard","Children and Adolescents","Other children","Male","9","0.06","0.01","0","-1","0.23","0.26","0.1","239","0","0","0","-1","0","0.01","0.02","g/kg.bw/day"
"France","2007","A038G","Duck fat, processed","Children and Adolescents","Other children","Male","3","0.03","0.02","0.01","-1","0.06","0.07","0.03","239","0","0","0","-1","0","0","0","g/kg.bw/day"
"France","2007","A038H","Goose fat, processed","Children and Adolescents","Other children","Female","14","0.03","0.03","0.02","-1","0.05","0.05","0.01","243","0","0","0","-1","0.02","0.03","0.01","g/kg.bw/day"
"France","2007","A038H","Goose fat, processed","Children and Adolescents","Other children","Male","16","0.04","0.03","0.02","-1","0.07","0.1","0.03","239","0","0","0","-1","0.02","0.03","0.01","g/kg.bw/day"
"France","2007","A036P","Olive oils","Children and Adolescents","Other children","Female","104","0.28","0.19","0.05","-1","0.89","0.93","0.27","243","0.12","0","0","-1","0.62","0.86","0.23","g/kg.bw/day"
"France","2007","A036P","Olive oils","Children and Adolescents","Other children","Male","86","0.29","0.21","0.06","-1","0.71","0.85","0.23","239","0.1","0","0","-1","0.55","0.7","0.2","g/kg.bw/day"
"France","2007","A036Q","Olive oil, virgin or extra-virgin","Children and Adolescents","Other children","Female","126","0.09","0.04","0.01","-1","0.28","0.38","0.13","243","0.05","0","0","-1","0.25","0.29","0.1","g/kg.bw/day"
"France","2007","A036Q","Olive oil, virgin or extra-virgin","Children and Adolescents","Other children","Male","122","0.1","0.04","0.01","-1","0.32","0.63","0.16","239","0.05","0.01","0","-1","0.25","0.33","0.13","g/kg.bw/day"
"France","2007","A037M","Coconut oil/fat","Children and Adolescents","Other children","Male","1","0.19","0.19","0.19","-1","0.19","0.19","0","239","0","0","0","-1","0","0","0.01","g/kg.bw/day"
"France","2007","A036V","Rape seed oil, edible","Children and Adolescents","Other children","Female","12","0.24","0.13","0.05","-1","0.81","1.16","0.4","243","0.01","0","0","-1","0","0.13","0.1","g/kg.bw/day"
"France","2007","A036V","Rape seed oil, edible","Children and Adolescents","Other children","Male","18","0.28","0.2","0.04","-1","0.77","0.82","0.25","239","0.02","0","0","-1","0.12","0.28","0.1","g/kg.bw/day"
"France","2007","A036X","Soya bean oil, refined","Children and Adolescents","Other children","Female","1","0","0","0","-1","0","0","0","243","0","0","0","-1","0","0","0","g/kg.bw/day"
